ticker,sector,mer,fum, one_month_return 
A200,Equity - Australia,0.04,"4,296.27", 1.48 
IOZ,Equity - Australia,0.05,"5,122.88", 1.34 
ILC,Equity - Australia,0.24,596.46, 1.88 
MVW,Equity - Australia,0.35,"2,098.95", 0.36 
QOZ,Equity - Australia,0.4,500.09, 2.24 
STW,Equity - Australia,0.05,"4,987.77", 1.19 
SFY,Equity - Australia,0.286,807.65, 1.71 
VAS,Equity - Australia,0.07,"14,584.16", 1.36 
VLC,Equity - Australia,0.2,230.68, 1.58 
EX20,Equity - Australia Small/Mid Cap,0.25,251.46, 0.87 
IMPQ,Equity - Australia Small/Mid Cap,0.99,44.1,-1.65 
ISO,Equity - Australia Small/Mid Cap,0.55,149.85, 1.13 
KSM,Equity - Australia Small/Mid Cap,2.27,10.79, 2.21 
MVE,Equity - Australia Small/Mid Cap,0.45,215.17,-3.83 
MVS,Equity - Australia Small/Mid Cap,0.49,46.8, 1.40 
SSO,Equity - Australia Small/Mid Cap,0.5,26.56, 0.82 
VSO,Equity - Australia Small/Mid Cap,0.3,868.9, 0.40 
ATEC,Equity - Australia Sectors,0.48,216.47, 1.25 
MVB,Equity - Australia Sectors,0.28,179.17, 5.38 
MVR,Equity - Australia Sectors,0.35,422.59,-2.83 
OZF,Equity - Australia Sectors,0.34,137.62, 5.08 
OZR,Equity - Australia Sectors,0.34,163.19,-3.52 
OZXX,Equity - Australia Sectors,0.25,3.57, 2.10 
QFN,Equity - Australia Sectors,0.34,50.19, 6.29 
QRE,Equity - Australia Sectors,0.34,218.63,-2.90 
AASF,Equity - Australia Strategy,0.78,482.14, 1.86 
AQLT,Equity - Australia Strategy,0.35,42.81, 3.11 
AUMF,Equity - Australia Strategy,0.3,60.73, 1.97 
AUST,Equity - Australia Strategy,0.49,30.44, 1.25 
AYLD,Equity - Australia Strategy,0.6,12.21, 0.59 
BBOZ,Equity - Australia Strategy,1.38,363.92,-1.64 
BEAR,Equity - Australia Strategy,1.48,47.18,-0.62 
DACE,Equity - Australia Strategy,0.28,"4,899.01", 1.03 
DVDY,Equity - Australia Strategy,0.35,76.04, 2.15 
E200,Equity - Australia Strategy,0.05,42.54, 0.66 
EIGA,Equity - Australia Strategy,0.8,33.65, 2.07 
EINC,Equity - Australia Strategy,0.85,22.49, 2.40 
FAIR,Equity - Australia Strategy,0.49,"1,397.98", 2.53 
GIVE,Equity - Australia Strategy,0.65,5.87, 2.82 
GRNV,Equity - Australia Strategy,0.35,160.5, 1.58 
GEAR,Equity - Australia Strategy,0.8,424.41, 3.61 
HVST,Equity - Australia Strategy,0.72,198.35, 1.64 
IMLC,Equity - Australia Strategy,0.993,2.49, 0.25 
IHD,Equity - Australia Strategy,0.23,312.75, 2.12 
IIGF,Equity - Australia Strategy,0.97,107.97, -   
INES,Equity - Australia Strategy,0.97,74.48, -   
INIF,Equity - Australia Strategy,0.97,81.74,-1.44 
IESG,Equity - Australia Strategy,0.09,182.16, 1.95 
MAAT,Equity - Australia Strategy,2.6429,15.34, 0.58 
MFOA,Equity - Australia Strategy,0.9,23.73,-0.28 
MVOL,Equity - Australia Strategy,0.3,19.13, 3.57 
RARI,Equity - Australia Strategy,0.45,334.96, 2.29 
RDV,Equity - Australia Strategy,0.34,249.68, 2.50 
SMLL,Equity - Australia Strategy,0.39,85.77, 2.07 
SWTZ,Equity - Australia Strategy,0.89,62.81, 1.60 
SYI,Equity - Australia Strategy,0.2,445.73, 1.54 
VETH,Equity - Australia Strategy,0.17,388.95, 2.05 
VHY,Equity - Australia Strategy,0.25,"3,473.42", 2.41 
YMAX,Equity - Australia Strategy,0.76,461.69, 1.44 
ZYAU,Equity - Australia Strategy,0.24,65.98, 2.34 
BAOR,Equity - Global,1.1,18.86, 6.31 
BGBL,Equity - Global,0.08,728.16, 6.02 
DAOR,Equity - Global,1.15,29.34, 1.53 
DFGH,Equity - Global,0.36,"2,548.27", 1.29 
DGCE,Equity - Global,0.36,"3,785.92", 4.88 
F100,Equity - Global,0.45,375.22, 2.42 
H100,Equity - Global,0.48,2.57,-1.13 
ESGI,Equity - Global,0.55,181.5, 7.55 
ESTX,Equity - Global,0.35,103.79, 4.87 
HEUR,Equity - Global,0.56,47.58, 2.59 
HGBL,Equity - Global,0.11,556.51, 2.65 
HNDQ,Equity - Global,0.51,366.47, 2.57 
IEU,Equity - Global,0.58,720.33, 3.75 
IHOO,Equity - Global,0.43,371.4, 3.57 
IHVV,Equity - Global,0.1,"1,521.16", 2.57 
IHWL,Equity - Global,0.13,287.29, 3.54 
IJH,Equity - Global,0.07,278.55, 3.42 
IJR,Equity - Global,0.07,499.71, 1.55 
IOO,Equity - Global,0.4,"3,167.22", 7.32 
IVE,Equity - Global,0.31,447.4, 4.11 
IVV,Equity - Global,0.04,"6,929.53", 6.81 
IWLD,Equity - Global,0.1,814.18, 7.01 
N100,Equity - Global,0.24,15.88, 6.88 
NDQ,Equity - Global,0.48,"4,070.57", 6.78 
QUS,Equity - Global,0.29,301.86, 4.18 
SPY,Equity - Global,0.0945,184.15, 6.67 
VEU,Equity - Global,0.08,"2,850.19", 2.82 
VEQ,Equity - Global,0.35,193.51, 3.16 
VGAD,Equity - Global,0.21,"2,786.36", 2.41 
VGS,Equity - Global,0.18,"6,936.44", 5.88 
VTS,Equity - Global,0.03,"4,029.20", 6.23 
WRLD,Equity - Global,0.54,49.63, 6.41 
WXHG,Equity - Global,0.21,237.56, 2.61 
WXOZ,Equity - Global,0.18,368.17, 5.93 
ASAO,Equity - Asia,1.18,0.97, 0.51 
ASIA,Equity - Asia,0.67,447.34,-0.57 
CETF,Equity - Asia,0.6,20.26,-0.11 
CNEW,Equity - Asia,0.95,100.2,-5.94 
EAFZ,Equity - Asia,0.75,39.33, 0.17 
HJPN,Equity - Asia,0.56,109.17, 9.31 
IAA,Equity - Asia,0.51,652.83,-1.93 
IJP,Equity - Asia,0.5,579.87, 8.13 
IKO,Equity - Asia,0.59,179.77,-5.93 
IIND,Equity - Asia,0.8,117.29, 3.22 
IZZ,Equity - Asia,0.77,267.01,-5.21 
NDIA,Equity - Asia,0.69,92.76, 3.63 
VAE,Equity - Asia,0.4,313.79,-1.28 
EMKT,Equity - Emerging Markets,0.69,82.16, 3.46 
EMMG,Equity - Emerging Markets,1,132.41,-1.78 
IEM,Equity - Emerging Markets,0.69,892.23,-0.45 
FEMX,Equity - Emerging Markets,0.99,203.75,-2.72 
VGE,Equity - Emerging Markets,0.48,736.66, 0.67 
