ticker,sector,name,mer,fum,fum_change,inflow_outflow,transacted_value,transacted_volume,no_of_trades,monthly_liquidity,spred,last_price,distribution_yield,one_month_return,one_year_return,three_year_return,five_year_returns
A200,Equity - Australia,Betashares Australia 200 ETF,0.04,"4,296.27",317.96,301.35,"214,355,402","1,719,165","14,021",4.99%,0.02%,127.46,3.70%,1.48%,8.44%,11.52%,11.30%
IOZ,Equity - Australia,iShares Core S&P/ASX 200 ETF,0.05,"5,122.88",296.04,275.6,"277,699,870","9,191,717","19,182",5.42%,0.04%,30.84,3.80%,1.34%,8.36%,11.08%,11.02%
ILC,Equity - Australia,iShares S&P/ASX 20 ETF,0.24,596.46,12,7.28,"25,625,586","870,614","1,928",4.30%,0.06%,29.95,4.18%,1.88%,9.61%,13.24%,12.50%
MVW,Equity - Australia,VanEck Australian Equal Weight ETF,0.35,"2,098.95",-20.77,21.72,"63,499,076","1,830,950","5,696",3.03%,0.05%,35.2,3.66%,0.36%,6.53%,9.32%,9.65%
QOZ,Equity - Australia,Betashares FTSE RAFI Australia 200 ETF,0.4,500.09,5.86,9.99,"15,187,004","1,005,650","1,952",3.04%,0.10%,15.44,5.07%,2.24%,9.74%,13.42%,11.75%
STW,Equity - Australia,SPDR S&P/ASX 200 ,0.05,"4,987.77",68.49,10.03,"160,793,439","2,394,568","8,203",3.22%,0.03%,68.97,4.17%,1.19%,8.39%,11.20%,11.12%
SFY,Equity - Australia,SPDR S&P/ASX 50 ,0.286,807.65,11.01,-2.61,"21,559,817","321,794",926,2.67%,0.05%,68.42,4.09%,1.71%,9.91%,12.71%,11.53%
VAS,Equity - Australia,Vanguard Australian Shares Index ETF,0.07,"14,584.16",200.17,149.9,"526,705,742","5,686,560","48,813",3.61%,0.02%,94.74,3.66%,1.36%,8.01%,10.69%,11.04%
VLC,Equity - Australia,Vanguard MSCI Australian Large Companies Index ETF,0.2,230.68,4.55,3.39,"11,319,915","147,806","1,677",4.91%,0.05%,78.26,4.71%,1.58%,10.39%,14.13%,13.10%
EX20,Equity - Australia Small/Mid Cap,Betashares Australian Ex-20 Portfolio Diversifier ETF,0.25,251.46,-2.41,0.26,"8,249,143","424,013",723,3.28%,0.13%,19.78,3.17%,0.87%,4.51%,6.21%,7.76%
IMPQ,Equity - Australia Small/Mid Cap,eInvest Better Future Fund (Managed Fund),0.99,44.1,-1.07,-0.32,"1,613,674","336,971",272,3.66%,0.89%,4.77,0.88%,-1.65%,-0.62%,-1.92%,n/a
ISO,Equity - Australia Small/Mid Cap,iShares S&P/ASX Small Ordinaries ETF,0.55,149.85,1.49,2.8,"8,154,712","1,842,476",555,5.44%,0.32%,4.52,2.51%,1.13%,1.72%,1.12%,5.53%
KSM,Equity - Australia Small/Mid Cap,K2 Australian Small Cap Fund (Hedge Fund),2.27,10.79,0.63,0.41,"593,474","259,355",48,5.50%,1.42%,2.31,0.49%,2.21%,-3.23%,-3.44%,2.42%
MVE,Equity - Australia Small/Mid Cap,VanEck S&P/ASX MidCap ETF,0.45,215.17,-9.19,3.59,"9,427,975","265,662",951,4.38%,0.16%,34.93,3.64%,-3.83%,-2.42%,5.82%,9.71%
MVS,Equity - Australia Small/Mid Cap,VanEck Small Companies Masters ETF,0.49,46.8,-0.71,0.05,"3,115,958","166,700",345,6.66%,0.16%,19.08,4.25%,1.40%,3.43%,3.82%,5.19%
SSO,Equity - Australia Small/Mid Cap,SPDR S&P/ASX Small Ordinaries Fund,0.5,26.56,0.24,0.03,"1,435,111","108,131",128,5.40%,0.20%,13.58,2.33%,0.82%,1.95%,1.59%,5.98%
VSO,Equity - Australia Small/Mid Cap,Vanguard MSCI Australian Small Companies Index ETF,0.3,868.9,-7.07,5.35,"30,634,967","491,948","4,374",3.53%,0.06%,63.26,2.92%,0.40%,1.58%,5.68%,9.31%
ATEC,Equity - Australia Sectors,Betashares S&P/ASX Australian Technology ETF,0.48,216.47,8.1,6.41,"21,557,131","1,036,775","2,435",9.96%,0.14%,21.12,0.61%,1.25%,24.86%,-1.39%,n/a
MVB,Equity - Australia Sectors,VanEck Australian Banks ETF,0.28,179.17,7.94,-1.28,"13,332,122","428,778",860,7.44%,0.10%,32.1,5.92%,5.38%,12.17%,15.77%,11.27%
MVR,Equity - Australia Sectors,VanEck Australian Resources ETF,0.35,422.59,-35.19,-8.66,"24,076,289","666,975","2,110",5.70%,0.12%,36.26,5.13%,-2.83%,0.61%,13.71%,12.19%
OZF,Equity - Australia Sectors,SPDR S&P/ASX 200 Financials ex A-REIT Fund,0.34,137.62,-9.67,-17.16,"32,028,216","1,444,374",220,23.27%,0.10%,22.94,3.72%,5.08%,12.00%,14.64%,10.68%
OZR,Equity - Australia Sectors,SPDR S&P/ASX 200 Resources Fund ,0.34,163.19,-30.44,-23.62,"35,399,582","2,527,726","1,244",21.69%,0.12%,13.7,6.32%,-3.52%,2.40%,16.78%,15.15%
OZXX,Equity - Australia Sectors,Global X Australia Ex Financials & Resources ETF,0.25,3.57,0.04,0,"94,711","9,517",24,2.66%,0.20%,10.19,0.97%,2.10%,n/a,n/a,n/a
